state,Pop,StateName,date,positive,positive100k,death,death100k,totalTestResults,totalTestResults100k,hospitalized,hospitalized100k,repDateMinus60,repDateMinus30,repDate
AK,731545,Alaska,2020-10-30,15908,2174,81,11,586323,80148,0,0,2020-09-06,2020-10-06,2020-11-05
AL,4903185,Alabama,2020-10-30,190496,3885,2932,59,1335689,27241,20450,417,2020-09-06,2020-10-06,2020-11-05
AR,3017825,Arkansas,2020-10-30,110874,3673,1900,62,1336571,44289,7003,232,2020-09-06,2020-10-06,2020-11-05
AZ,7278717,Arizona,2020-10-30,244045,3352,5934,81,1759095,24167,21424,294,2020-09-06,2020-10-06,2020-11-05
CA,39512223,California,2020-10-30,916918,2320,17571,44,18444523,46680,0,0,2020-09-06,2020-10-06,2020-11-05
CO,5758736,Colorado,2020-10-30,102014,1771,2095,36,1936408,33625,8943,155,2020-09-06,2020-10-06,2020-11-05
CT,3565287,Connecticut,2020-10-30,71207,1997,4616,129,2288584,64190,12257,343,2020-09-06,2020-10-06,2020-11-05
DC,705749,District of Columbia,2020-10-30,17144,2429,646,91,514130,72848,0,0,2020-09-06,2020-10-06,2020-11-05
DE,973764,Delaware,2020-10-30,24751,2541,704,72,550857,56569,0,0,2020-09-06,2020-10-06,2020-11-05
FL,21477737,Florida,2020-10-30,789714,3676,16927,78,9943626,46297,49758,231,2020-09-06,2020-10-06,2020-11-05
GA,10617423,Georgia,2020-10-30,358225,3373,7955,74,3535825,33302,31606,297,2020-09-06,2020-10-06,2020-11-05
HI,1415872,Hawaii,2020-10-30,15116,1067,215,15,521859,36857,1090,76,2020-09-06,2020-10-06,2020-11-05
IA,3155070,Iowa,2020-10-30,117185,3714,1706,54,884252,28026,0,0,2020-09-06,2020-10-06,2020-11-05
ID,1787065,Idaho,2020-10-30,62746,3511,615,34,381008,21320,2549,142,2020-09-06,2020-10-06,2020-11-05
IL,12671821,Illinois,2020-10-30,408660,3224,9994,78,7643468,60318,0,0,2020-09-06,2020-10-06,2020-11-05
IN,6732219,Indiana,2020-10-30,175893,2612,4286,63,2863919,42540,16685,247,2020-09-06,2020-10-06,2020-11-05
KS,2913314,Kansas,2020-10-30,85181,2923,1029,35,642782,22063,3832,131,2020-09-06,2020-10-06,2020-11-05
KY,4467673,Kentucky,2020-10-30,105242,2355,1476,33,1876130,41993,7098,158,2020-09-06,2020-10-06,2020-11-05
LA,4648794,Louisiana,2020-10-30,186649,4014,5919,127,2763671,59449,0,0,2020-09-06,2020-10-06,2020-11-05
MA,6949503,Massachusetts,2020-10-30,157146,2261,9975,143,6009927,86479,13253,190,2020-09-06,2020-10-06,2020-11-05
MD,6045680,Maryland,2020-10-30,144314,2387,4137,68,3389678,56067,17023,281,2020-09-06,2020-10-06,2020-11-05
ME,1344212,Maine,2020-10-30,6570,488,146,10,623413,46377,486,36,2020-09-06,2020-10-06,2020-11-05
MI,9986857,Michigan,2020-10-30,193388,1936,7665,76,4862083,48684,0,0,2020-09-06,2020-10-06,2020-11-05
MN,5639632,Minnesota,2020-10-30,145465,2579,2437,43,2774695,49199,10119,179,2020-09-06,2020-10-06,2020-11-05
MO,6137428,Missouri,2020-10-30,180200,2936,2925,47,2494866,40650,0,0,2020-09-06,2020-10-06,2020-11-05
MS,2976149,Mississippi,2020-10-30,119336,4009,3328,111,923600,31033,6576,220,2020-09-06,2020-10-06,2020-11-05
MT,1068778,Montana,2020-10-30,31916,2986,364,34,492629,46092,1327,124,2020-09-06,2020-10-06,2020-11-05
NC,10488084,North Carolina,2020-10-30,271830,2591,4332,41,4005791,38193,0,0,2020-09-06,2020-10-06,2020-11-05
ND,762062,North Dakota,2020-10-30,42483,5574,400,52,823327,108039,1586,208,2020-09-06,2020-10-06,2020-11-05
NE,1934408,Nebraska,2020-10-30,68150,3523,637,32,920664,47594,2977,153,2020-09-06,2020-10-06,2020-11-05
NH,1359711,New Hampshire,2020-10-30,10884,800,482,35,609924,44856,777,57,2020-09-06,2020-10-06,2020-11-05
NJ,8882190,New Jersey,2020-10-30,236523,2662,16339,183,4574507,51502,37613,423,2020-09-06,2020-10-06,2020-11-05
NM,2096829,New Mexico,2020-10-30,44904,2141,994,47,1153185,54996,4492,214,2020-09-06,2020-10-06,2020-11-05
NV,3080156,Nevada,2020-10-30,99786,3239,1777,57,1242709,40345,0,0,2020-09-06,2020-10-06,2020-11-05
NY,19453561,New York,2020-10-30,505431,2598,25804,132,14390756,73974,89995,462,2020-09-06,2020-10-06,2020-11-05
OH,11689100,Ohio,2020-10-30,212782,1820,5291,45,4413936,37761,18969,162,2020-09-06,2020-10-06,2020-11-05
OK,3956971,Oklahoma,2020-10-30,121495,3070,1326,33,1601775,40479,8778,221,2020-09-06,2020-10-06,2020-11-05
OR,4217737,Oregon,2020-10-30,44389,1052,675,16,854938,20270,3204,75,2020-09-06,2020-10-06,2020-11-05
PA,12801989,Pennsylvania,2020-10-30,205517,1605,8784,68,2503500,19555,0,0,2020-09-06,2020-10-06,2020-11-05
RI,1059361,Rhode Island,2020-10-30,32874,3103,1201,113,1124307,106130,3309,312,2020-09-06,2020-10-06,2020-11-05
SC,5148714,South Carolina,2020-10-30,175594,3410,3896,75,1788360,34734,10452,203,2020-09-06,2020-10-06,2020-11-05
SD,884659,South Dakota,2020-10-30,44559,5036,415,46,256656,29011,2660,300,2020-09-06,2020-10-06,2020-11-05
TN,6833174,Tennessee,2020-10-30,259488,3797,3341,48,3662089,53592,10264,150,2020-09-06,2020-10-06,2020-11-05
TX,28995881,Texas,2020-10-30,893451,3081,17934,61,8080012,27866,0,0,2020-09-06,2020-10-06,2020-11-05
UT,3205958,Utah,2020-10-30,112932,3522,601,18,1377493,42966,5395,168,2020-09-06,2020-10-06,2020-11-05
VA,8535519,Virginia,2020-10-30,179639,2104,3643,42,2606664,30539,20994,245,2020-09-06,2020-10-06,2020-11-05
VT,623989,Vermont,2020-10-30,2155,345,58,9,403053,64592,0,0,2020-09-06,2020-10-06,2020-11-05
WA,7614893,Washington,2020-10-30,105557,1386,2359,30,2405352,31587,8467,111,2020-09-06,2020-10-06,2020-11-05
WI,5822434,Wisconsin,2020-10-30,232062,3985,2029,34,3235669,55572,11145,191,2020-09-06,2020-10-06,2020-11-05
WV,1792147,West Virginia,2020-10-30,23990,1338,451,25,769302,42926,0,0,2020-09-06,2020-10-06,2020-11-05
WY,578759,Wyoming,2020-10-30,13028,2251,87,15,129983,22458,440,76,2020-09-06,2020-10-06,2020-11-05
